last_name_first_name,player_id,year,player_age,ab,pa,hit,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,b_gnd_into_dp,b_hit_ground,b_out_ground,xba,barrel_batted_rate,hard_hit_percent,pull_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,gb_babip,straightaway_percent,shift_allowed
"Pujols, Albert",405395,2019,39,491,545,120,0.244,0.43,0.305,0.735,0.238,21,42,157,0.251,6.5,36.6,45.7,18.6,46.2,26.7,16.9,0.21105527638190955,35.699999999999996,Shift Allowed
"Cabrera, Miguel",408234,2019,36,493,549,139,0.282,0.398,0.346,0.744,0.336,18,48,127,0.271,6.9,44.4,30,32.8,44.9,22.3,27.9,0.2742857142857143,37.2,Shift Allowed
"Choo, Shin-Soo",425783,2019,36,563,660,149,0.265,0.455,0.371,0.826,0.333,6,56,146,0.263,9.2,49,36.1,24.3,50.6,22.3,23.6,0.27722772277227725,39.599999999999994,Shift Allowed
"Molina, Yadier",425877,2019,36,419,452,113,0.27,0.399,0.312,0.711,0.289,14,28,117,0.271,4.1,35,39.6,24.9,39.6,22.1,30.9,0.19310344827586207,35.5,Shift Allowed
"Canó, Robinson",429664,2019,36,390,423,100,0.256,0.428,0.307,0.735,0.28,16,31,130,0.28,7.8,46.3,32.4,27.8,49.7,18.2,27.5,0.19254658385093168,39.8,Shift Allowed
"Encarnación, Edwin",429665,2019,36,418,486,102,0.244,0.531,0.344,0.875,0.239,4,24,74,0.245,14.3,42.4,48.1,21.7,30.8,31.1,23,0.24489795918367346,30.2,Shift Allowed
"Jones, Adam",430945,2019,33,485,528,126,0.26,0.414,0.313,0.727,0.296,15,41,129,0.257,7.3,31,39.3,22.5,43.9,25.8,21.2,0.2411764705882353,38.2,Shift Allowed
"Granderson, Curtis",434158,2019,38,317,363,58,0.183,0.356,0.281,0.637,0.22,3,10,66,0.214,7.7,34.8,44.3,27.6,34.4,33,24.9,0.13157894736842105,28.1,Shift Allowed
"Kendrick, Howie",435062,2019,35,334,370,115,0.344,0.572,0.395,0.967,0.359,11,47,93,0.332,11.8,48.3,28.3,25.9,48.3,23.1,24.1,0.3357142857142857,45.800000000000004,Shift Allowed
"McCann, Brian",435263,2019,35,277,316,69,0.249,0.412,0.323,0.735,0.261,10,22,82,0.237,6,35.2,43,17.8,45.2,23.5,23,0.21153846153846154,39.2,Shift Allowed
