last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"Gallegos, Giovanny",606149,2021,80.1,310,95,30.6,6.5,3.02,10.1,38.6,34.6,51.5
"Bieber, Shane",669456,2022,200,791,198,25,4.6,2.88,7.2,43.1,29.7,49.7
"Lynn, Lance",458681,2019,208.1,875,246,28.1,6.7,3.67,6.5,33.8,28.5,49
"Mikolas, Miles",571945,2022,202.1,805,153,19,4.8,3.29,7,36,18.7,48.9
"Stroman, Marcus",573186,2022,138.2,569,119,20.9,6.3,3.5,6.6,40.7,22.4,45.9
"Pivetta, Nick",601713,2021,155,661,175,26.5,9.8,4.53,8.2,40.4,24.6,48.1
"Houser, Adrian",605288,2025,125,518,92,17.8,7.3,3.31,6.1,47.6,18.1,49.6
"Anderson, Chase",502624,2019,139,592,124,20.9,8.4,4.21,7.3,32.9,23.5,49.8
"Yarbrough, Ryan",642232,2023,89.2,376,67,17.8,3.5,4.52,6.6,29.2,22.8,51.5
"Keller, Mitch",656605,2025,176.1,749,150,20,6.8,4.19,7.8,43.8,20.6,48.5
"Keuchel, Dallas",572971,2021,162,720,95,13.2,8.2,5.28,9,39.8,21.1,44.2
"Cannon, Jonathan",686563,2025,103.2,466,86,18.5,8.2,5.82,10.8,45.4,21.4,48.4
"Castillo, Luis",622491,2024,175.1,719,175,24.3,6.5,3.64,8.5,41.9,25.9,50.6
"Berríos, José",621244,2022,172,753,149,19.8,6,5.23,9.6,43.8,21.3,48.6
"Smyly, Drew",592767,2019,114,514,120,23.3,10.7,6.24,10.5,38.6,25.9,44.5
"Sears, JP",676664,2024,180.2,758,137,18.1,6.5,4.38,10.2,40.2,21.8,48.7
"Cashner, Andrew",488768,2019,150,636,108,17,9.1,4.68,8.3,41,22.5,45.3
"Kremer, Dean",665152,2024,129.2,553,123,22.2,9.2,4.1,9.9,35.4,23.3,46.2
"Cortes, Nestor",641482,2021,93,374,103,27.5,6.7,2.9,7.4,36.1,23.6,48.3
"Keuchel, Dallas",572971,2019,112.2,487,91,18.7,8,3.75,8,38.5,21.4,45.7
"Rodriguez, Eduardo",593958,2023,152.2,621,143,23,7.7,3.3,7.8,38.5,23.8,47.8
"Alexander, Tyler",641302,2021,106.1,451,87,19.3,6.2,3.81,8.4,39.2,20,50
"Spiers, Carson",686730,2024,90.2,410,80,19.5,6.6,5.46,10.4,38.9,21.4,48
"Cease, Dylan",656302,2022,184,747,227,30.4,10.4,2.2,6.2,31.2,33.3,47.3
"Peralta, Freddy",642547,2019,85,382,115,30.1,9.7,5.29,10.7,38.6,29.3,49.3
"Font, Wilmer",521655,2019,84.1,357,95,26.6,8.4,4.48,10.9,38.4,27.6,48.7
"Crochet, Garrett",676979,2024,146,595,209,35.1,5.5,3.58,9.2,38.8,33.1,53.2
"Wood, Alex",622072,2021,138.2,585,152,26,6.7,3.83,5.3,40.5,27.6,47.5
"Bradley, Taj",671737,2025,142.2,605,127,21,9.3,5.05,7.4,39.9,23.6,48.3
"Heaney, Andrew",571760,2024,160,693,159,22.9,5.9,4.28,8.4,40.1,26.3,50.3
"Cobb, Alex",502171,2021,93.1,393,98,24.9,8.4,3.76,4.3,37.5,26.5,44.7
"Anderson, Chase",502624,2023,86.1,372,64,17.2,8.9,5.42,8.2,31.7,21.6,46.2
"Luzardo, Jesús",666200,2021,95.1,437,98,22.4,11,6.61,10.1,39,29.9,47
"Avila, Pedro",658648,2024,82.2,353,82,23.2,10.2,3.81,5.2,41.6,25,46.4
"Germán, Domingo",593334,2023,108.2,444,114,25.7,7.7,4.56,9.7,41.4,30.3,50.9
"Alzolay, Adbert",640470,2021,125.2,519,128,24.7,6.6,4.58,9.9,38.1,27.2,49.3
"Woods Richardson, Simeon",680573,2025,111.1,471,107,22.7,9.8,4.04,11.4,41.6,24.1,48
"Flaherty, Jack",656427,2025,161,681,188,27.6,8.7,4.64,10.3,43.8,27.3,45.6
"Montgomery, Jordan",656756,2022,178.1,724,158,21.8,5,3.48,7.1,37.5,27.5,50.6
"Boyd, Matthew",571510,2025,179.2,718,154,21.4,5.8,3.21,9,38,23.1,51.5
"Bradford, Cody",674003,2024,76.1,308,70,22.7,4.2,3.54,8.9,34.8,23.6,49.1
"McKenzie, Triston",663474,2022,191.1,741,190,25.6,5.9,2.96,9.8,40.6,26.8,52.7
"Steele, Justin",657006,2024,134.2,555,135,24.3,6.7,3.07,4.2,33.2,23.7,51.5
"Kim, Kwang Hyun",547942,2021,106.2,452,80,17.7,8.6,3.46,7,35.9,22,44.1
"Skubal, Tarik",669373,2025,195.1,748,241,32.2,4.4,2.21,8.1,33,32.5,54.8
"Casparius, Ben",676508,2025,77.2,333,71,21.3,6.3,4.64,7.1,31.9,27.6,49.7
"Keller, Mitch",656605,2021,100.2,470,92,19.6,10.4,6.17,6.8,47.5,20.7,46.1
"Corbin, Patrick",571578,2023,180,790,124,15.7,7.2,5.2,9.3,44,21.4,45.7
"Hendricks, Kyle",543294,2020,81.1,315,64,20.3,2.5,2.88,4.6,32,24.9,49.8
"Wheeler, Zack",554430,2021,213.1,849,247,29.1,5.4,2.78,4.6,28.5,26.8,51.9
"Guerra, Junior",448855,2019,83.2,344,77,22.4,10.5,3.55,7,29.4,26.1,46.8
"Williams, Gavin",668909,2024,76,332,79,23.8,9.6,4.86,6.9,44,24.8,49.2
"Rodríguez, Dereck",605446,2019,99,439,71,16.2,8.2,5.64,7.5,36.2,21,45.7
"Means, John",607644,2019,155,637,121,19,6,3.6,7.3,30.7,22.1,48
"Henry, Tommy",674072,2023,89,381,64,16.8,9.2,4.15,7.6,32.4,22.3,48.7
"Civale, Aaron",650644,2021,124.1,498,99,19.9,6.2,3.84,8.2,39.3,21.4,47.4
"Davies, Zach",605200,2019,159.2,672,102,15.2,7.6,3.55,7.9,33.3,17.3,43.7
